,addr:housenumber,addr:street,latitude,longitude,id
0,52,Westlandseweg,52.0012405,4.3502639,27082278
1,202,Rijksweg A13,51.9813673,4.3940784,34032716
2,1,Papsouwselaan,52.0021000,4.3542700,34045018
3,135,Bastiaansplein,52.0091179,4.3647530,34045461
4,5,Kerkpolderweg,51.9881883,4.3278741,34049756
5,67,Koornmarkt,52.0095233,4.3587818,34050648
6,4,Sint Agathaplein,52.0115528,4.3540103,34050650
7,10,Kruithuisweg,51.9876112,4.3555009,44739203
8,119,Westlandseweg,52.0008626,4.3508340,81409420
9,10,Prinses Beatrixlaan,52.0156537,4.3354754,265089222
10,9,Dasstraat,51.9851633,4.3606541,266754111
11,11,Pynepoort,52.0099708,4.3639453,311876081
12,5,Doelenplein,52.0142681,4.3591581,312527178
13,7,Woudseweg,51.9990040,4.3285083,315305795
14,33,Harnaskade,52.0060631,4.3124002,339433009
15,55,Markt,52.0114197,4.3594485,368038057
16,55,Willemstraat,52.0110609,4.3489997,418851248
17,95,Brabantse Turfmarkt,52.0107160,4.3601274,467095903
18,35,Dijkshoornseweg,52.0009425,4.3300020,469413986
19,132,Molslaan,52.0109063,4.3625519,483553220
20,1,Cameretten,52.0115438,4.3577108,483553508
21,4,Heilige Geestkerkhof,52.0122585,4.3560008,502988861
22,2,Nieuwstraat,52.0113178,4.3564921,502988862
23,67,Brabantse Turfmarkt,52.0102413,4.3603997,502988863
24,24,Kromstraat,52.0107632,4.3593835,502988868
25,6,Korftlaan,52.0157515,4.3764957,526367503
26,4,Vesteplein,52.0085470,4.3621660,528867831
27,21,Kromstraat,52.0106173,4.3592172,528867851
28,22,Kromstraat,52.0107459,4.3593420,528867854
29,20,Kromstraat,52.0107164,4.3592759,528867855
30,6,Voorstraat,52.0129213,4.3567533,528867859
31,30,Verwersdijk,52.0139015,4.3586078,528867863
32,2,Doelenplein,52.0140003,4.3585334,528867865
33,32,Verwersdijk,52.0139112,4.3585578,528867866
34,7,Doelenplein,52.0144489,4.3588295,528867867
35,33,Vrouwjuttenland,52.0131326,4.3592263,528867874
36,18,Molslaan,52.0104300,4.3615117,528867877
37,22,Burgwal,52.0115062,4.3615593,528867882
38,77,Kruisstraat,52.0099659,4.3649699,528867889
39,9,Schieweg,51.9980129,4.3655630,538281386
40,23A,Nassaulaan,52.0070813,4.3751739,539078336
41,5,Vesteplein,52.0084979,4.3633065,542544476
42,281,Vulcanusweg,51.9945548,4.3615388,545018453
43,4,Schoemakerstraat,52.0050189,4.3743880,545060439
44,9,Hooikade,52.0046760,4.3593943,545146126
45,9,Westvest,52.0088009,4.3571607,545146147
46,33,Binnenwatersloot,52.0098143,4.3570024,548597686
47,22,Wijnhaven,52.0114615,4.3573679,548597689
48,33,Maerten Trompstraat,52.0036485,4.3669663,548968921
49,63,Achterom,52.0068246,4.3622215,548985792
50,6,Vestpoort,52.0092997,4.3632132,548985842
51,4,Giststraat,52.0069578,4.3610815,549020425
52,27,De Vlouw,52.0128257,4.3595691,549020487
53,50,De Vlouw,52.0127664,4.3591794,549020489
54,57-59,Markt,52.0114976,4.3595464,549118621
55,33,Molslaan,52.0102667,4.3623734,549118643
56,4,Peperstraat,52.0103517,4.3574871,549143175
57,20,Hippolytusbuurt,52.0123597,4.3571561,549143178
58,125,Papsouwselaan,51.9990783,4.3551428,549187810
59,121,Papsouwselaan,51.9993382,4.3551422,549187816
60,123B,Papsouwselaan,51.9991447,4.3551246,549187819
61,21,Papsouwselaan,52.0003218,4.3549087,549187835
62,17,Westlandseweg,52.0023819,4.3548336,549187870
63,149,Oude Delft,52.0112377,4.3560511,552445484
64,169,Oude Delft,52.0119748,4.3554058,552445486
65,91A-X,Oude Delft,52.0093214,4.3575762,552445526
66,133,Oude Delft,52.0108259,4.3563988,552445532
67,13,Boterbrug,52.0109921,4.3573390,552445533
68,9A,Markt,52.0113443,4.3580349,552445542
69,54,Noordeinde,52.0166000,4.3524031,552445565
70,18,Nassaulaan,52.0072916,4.3748969,553454859
71,22,Nassauplein,52.0065743,4.3800345,553454868
72,189,Oosteinde,52.0120622,4.3635686,553492547
73,123,Oosteinde,52.0113127,4.3658400,553492550
74,215,Oosteinde,52.0123158,4.3627287,553492580
75,1,Oosteinde,52.0107892,4.3676887,553492630
76,6,Oosteinde,52.0111720,4.3675767,553492636
77,30,Vrouwjuttenland,52.0132607,4.3597056,553511594
78,32,Vrouwjuttenland,52.0132795,4.3596532,553511596
79,18,Verwersdijk,52.0136774,4.3588315,553511605
80,18,Molenstraat,52.0157479,4.3549389,553511619
81,4A,Molenstraat,52.0156031,4.3545964,553511622
82,41,Oosterstraat,52.0144945,4.3633190,553511641
83,51,Krakeelpolderweg,52.0025360,4.3532315,553540176
84,112,Van Foreestweg,52.0128008,4.3353927,558508768
85,16-20,Van Foreestweg,52.0130414,4.3361911,558508773
86,4,Van Bossestraat,52.0116190,4.3482893,558508909
87,42,Loudonstraat,52.0111411,4.3483135,558508911
88,148,C. Fockstraat,52.0117008,4.3485832,558508914
89,75,Hof van Delftlaan,52.0122387,4.3479195,558508920
90,1,Voorhofdreef,51.9963879,4.3552499,558508934
91,18,Burgwal,52.0111483,4.3608202,558518665
92,33,Beestenmarkt,52.0111928,4.3626874,558518669
93,8,Beestenmarkt,52.0115617,4.3620311,558518670
94,14,Beestenmarkt,52.0116768,4.3622968,558518672
95,26,Beestenmarkt,52.0117830,4.3628167,558518674
96,35,Beestenmarkt,52.0112378,4.3627766,558518675
97,30,Beestenmarkt,52.0116510,4.3630173,558518676
98,6,Woudseweg,51.9996143,4.3297684,564813418
99,1c,Hof van Delftstraat,52.0007034,4.3297751,564813428
100,4,Hoornsewal,51.9997110,4.3301879,564813429
101,9,Koningin Julianaplein,52.0011126,4.3310029,564824778
102,100,Vesteplein,52.0089321,4.3630228,565751833
103,9,Zocherweg,52.0160058,4.3453738,566455376
104,21,Choorstraat,52.0129328,4.3578167,567903039
105,16,Koornmarkt,52.0089141,4.3597364,583018388
106,94,Rotterdamseweg,52.0051791,4.3634402,583018391
107,9,Peperstraat,52.0102984,4.3577750,583022322
108,5,Peperstraat,52.0102539,4.3576289,583022323
109,3,Peperstraat,52.0102244,4.3575436,598313436
110,13,Peperstraat,52.0103459,4.3579469,598313437
111,47,Coenderstraat,52.0070372,4.3554012,599025828
112,281,Vulcanusweg,51.9945913,4.3621185,601936685
113,1,Kerkpolderweg,51.9907869,4.3314429,603300994
114,2,Buitenhofdreef,51.9994456,4.3431217,610313133
115,7H,Troelstralaan,51.9985607,4.3544380,617798649
116,8,Juniusstraat,51.9992074,4.3470888,627125053
117,2,Griegstraat,51.9965477,4.3441076,627125070
118,1,Bachsingel,51.9924726,4.3439405,643586107
119,9,Lagosweg,51.9848097,4.3426974,644082111
120,2a,Reinier de Graafweg,51.9999103,4.3427244,644094050
121,13,Fuutlaan,51.9839325,4.3608181,644111026
122,1,Staalweg,52.0124421,4.3743355,660690892
123,156,Brasserskade,52.0241325,4.3547309,661546283
124,1,Derde Werelddreef,51.9851769,4.3455308,669803690
125,13,Rietgorspad,51.9830669,4.3549973,669895398
126,1,Ivoorkust,51.9826824,4.3457268,670013569
127,84,Koornmarkt,52.0107977,4.3582897,674813526
128,17,Feldmannweg,51.9973116,4.3742002,702959721
129,37,Breestraat,52.0083684,4.3614651,702995760
