,latitude,longitude,id,addr:housenumber,addr:street
0,52.0012405,4.3502639,27082278,52,Westlandseweg
1,51.9813673,4.3940784,34032716,202,Rijksweg A13
2,52.0021000,4.3542700,34045018,1,Papsouwselaan
3,52.0091179,4.3647530,34045461,135,Bastiaansplein
4,51.9881883,4.3278741,34049756,5,Kerkpolderweg
5,52.0095233,4.3587818,34050648,67,Koornmarkt
6,52.0115528,4.3540103,34050650,4,Sint Agathaplein
7,51.9876112,4.3555009,44739203,10,Kruithuisweg
8,52.0008626,4.3508340,81409420,119,Westlandseweg
9,52.0156537,4.3354754,265089222,10,Prinses Beatrixlaan
10,51.9851633,4.3606541,266754111,9,Dasstraat
11,52.0099708,4.3639453,311876081,11,Pynepoort
12,52.0142681,4.3591581,312527178,5,Doelenplein
13,51.9990040,4.3285083,315305795,7,Woudseweg
14,52.0060631,4.3124002,339433009,33,Harnaskade
15,52.0114197,4.3594485,368038057,55,Markt
16,52.0110609,4.3489997,418851248,55,Willemstraat
17,52.0107160,4.3601274,467095903,95,Brabantse Turfmarkt
18,52.0009425,4.3300020,469413986,35,Dijkshoornseweg
19,52.0109063,4.3625519,483553220,132,Molslaan
20,52.0115438,4.3577108,483553508,1,Cameretten
21,52.0122585,4.3560008,502988861,4,Heilige Geestkerkhof
22,52.0113178,4.3564921,502988862,2,Nieuwstraat
23,52.0102413,4.3603997,502988863,67,Brabantse Turfmarkt
24,52.0107632,4.3593835,502988868,24,Kromstraat
25,52.0157515,4.3764957,526367503,6,Korftlaan
26,52.0085470,4.3621660,528867831,4,Vesteplein
27,52.0106173,4.3592172,528867851,21,Kromstraat
28,52.0107459,4.3593420,528867854,22,Kromstraat
29,52.0107164,4.3592759,528867855,20,Kromstraat
30,52.0129213,4.3567533,528867859,6,Voorstraat
31,52.0139015,4.3586078,528867863,30,Verwersdijk
32,52.0140003,4.3585334,528867865,2,Doelenplein
33,52.0139112,4.3585578,528867866,32,Verwersdijk
34,52.0144489,4.3588295,528867867,7,Doelenplein
35,52.0131326,4.3592263,528867874,33,Vrouwjuttenland
36,52.0104300,4.3615117,528867877,18,Molslaan
37,52.0115062,4.3615593,528867882,22,Burgwal
38,52.0099659,4.3649699,528867889,77,Kruisstraat
39,51.9980129,4.3655630,538281386,9,Schieweg
40,52.0070813,4.3751739,539078336,23A,Nassaulaan
41,52.0084979,4.3633065,542544476,5,Vesteplein
42,51.9945548,4.3615388,545018453,281,Vulcanusweg
43,52.0050189,4.3743880,545060439,4,Schoemakerstraat
44,52.0046760,4.3593943,545146126,9,Hooikade
45,52.0088009,4.3571607,545146147,9,Westvest
46,52.0098143,4.3570024,548597686,33,Binnenwatersloot
47,52.0114615,4.3573679,548597689,22,Wijnhaven
48,52.0036485,4.3669663,548968921,33,Maerten Trompstraat
49,52.0068246,4.3622215,548985792,63,Achterom
50,52.0092997,4.3632132,548985842,6,Vestpoort
51,52.0069578,4.3610815,549020425,4,Giststraat
52,52.0128257,4.3595691,549020487,27,De Vlouw
53,52.0127664,4.3591794,549020489,50,De Vlouw
54,52.0114976,4.3595464,549118621,57-59,Markt
55,52.0102667,4.3623734,549118643,33,Molslaan
56,52.0103517,4.3574871,549143175,4,Peperstraat
57,52.0123597,4.3571561,549143178,20,Hippolytusbuurt
58,51.9990783,4.3551428,549187810,125,Papsouwselaan
59,51.9993382,4.3551422,549187816,121,Papsouwselaan
60,51.9991447,4.3551246,549187819,123B,Papsouwselaan
61,52.0003218,4.3549087,549187835,21,Papsouwselaan
62,52.0023819,4.3548336,549187870,17,Westlandseweg
63,52.0112377,4.3560511,552445484,149,Oude Delft
64,52.0119748,4.3554058,552445486,169,Oude Delft
65,52.0093214,4.3575762,552445526,91A-X,Oude Delft
66,52.0108259,4.3563988,552445532,133,Oude Delft
67,52.0109921,4.3573390,552445533,13,Boterbrug
68,52.0113443,4.3580349,552445542,9A,Markt
69,52.0166000,4.3524031,552445565,54,Noordeinde
70,52.0072916,4.3748969,553454859,18,Nassaulaan
71,52.0065743,4.3800345,553454868,22,Nassauplein
72,52.0120622,4.3635686,553492547,189,Oosteinde
73,52.0113127,4.3658400,553492550,123,Oosteinde
74,52.0123158,4.3627287,553492580,215,Oosteinde
