,latitude,longitude,amenity
0,52.0012405,4.3502639,fuel
1,51.9762582,4.3173129,
2,52.0021000,4.3542700,
3,52.0091179,4.3647530,
4,51.9881883,4.3278741,
5,51.9758977,4.3185170,
6,52.0095233,4.3587818,
7,52.0115528,4.3540103,cafe
8,51.9876112,4.3555009,fuel
9,52.0008626,4.3508340,fuel
10,52.0045902,4.3934735,school
11,52.0156537,4.3354754,fuel
12,51.9851633,4.3606541,
13,52.0099708,4.3639453,
14,52.0142681,4.3591581,cinema
15,51.9990040,4.3285083,fire_station
16,52.0060631,4.3124002,
17,52.0114197,4.3594485,atm
18,52.0110609,4.3489997,
19,52.0107160,4.3601274,
20,52.0049879,4.3910996,
21,52.0009425,4.3300020,atm
22,52.0109063,4.3625519,
23,52.0115438,4.3577108,
24,52.0053818,4.3913823,
25,52.0053344,4.3914991,fast_food
26,52.0122585,4.3560008,pub
27,52.0113178,4.3564921,pub
28,52.0102413,4.3603997,pub
29,52.0107632,4.3593835,nightclub
30,52.0157515,4.3764957,
31,52.0085470,4.3621660,cafe
32,52.0106173,4.3592172,restaurant
33,52.0107459,4.3593420,
34,52.0107164,4.3592759,cafe
35,52.0129213,4.3567533,
36,52.0139015,4.3586078,restaurant
37,52.0140003,4.3585334,restaurant
38,52.0139112,4.3585578,restaurant
39,52.0144489,4.3588295,restaurant
40,52.0131326,4.3592263,
41,52.0104300,4.3615117,
42,52.0115062,4.3615593,bar
43,52.0099659,4.3649699,
44,51.9980129,4.3655630,
45,52.0070813,4.3751739,
46,52.0084979,4.3633065,cinema
47,51.9945548,4.3615388,fuel
48,52.0050189,4.3743880,cafe
49,52.0046760,4.3593943,
50,52.0088009,4.3571607,pub
51,52.0098143,4.3570024,
52,52.0114615,4.3573679,cafe
53,52.0036485,4.3669663,
54,52.0068246,4.3622215,cafe
55,52.0092997,4.3632132,
56,52.0069578,4.3610815,
57,52.0128257,4.3595691,cafe
58,52.0127664,4.3591794,cafe
59,52.0114976,4.3595464,fast_food
60,52.0102667,4.3623734,
61,52.0103517,4.3574871,fast_food
62,52.0123597,4.3571561,
63,51.9990783,4.3551428,fast_food
64,51.9993382,4.3551422,
65,51.9991447,4.3551246,fast_food
66,52.0003218,4.3549087,restaurant
67,52.0023819,4.3548336,
68,52.0112377,4.3560511,
69,52.0119748,4.3554058,
70,52.0093214,4.3575762,
71,52.0108259,4.3563988,cafe
72,52.0109921,4.3573390,restaurant
73,52.0113443,4.3580349,restaurant
74,52.0166000,4.3524031,
75,52.0072916,4.3748969,atm
76,52.0065743,4.3800345,restaurant
77,52.0120622,4.3635686,
78,52.0113127,4.3658400,restaurant
79,52.0123158,4.3627287,
80,52.0107892,4.3676887,pub
81,52.0111720,4.3675767,school
82,52.0132607,4.3597056,
83,52.0132795,4.3596532,
84,52.0136774,4.3588315,
85,52.0157479,4.3549389,
86,52.0156031,4.3545964,
87,52.0144945,4.3633190,
88,52.0025360,4.3532315,fire_station
89,52.0049244,4.3911466,pharmacy
90,52.0128008,4.3353927,fast_food
91,52.0130414,4.3361911,
92,52.0116190,4.3482893,
93,52.0111411,4.3483135,
94,52.0117008,4.3485832,
95,52.0122387,4.3479195,
96,51.9963879,4.3552499,pub
97,52.0111483,4.3608202,pub
98,52.0111928,4.3626874,bar
99,52.0115617,4.3620311,cafe
100,52.0116768,4.3622968,restaurant
101,52.0117830,4.3628167,restaurant
102,52.0112378,4.3627766,restaurant
103,52.0116510,4.3630173,
104,51.9996143,4.3297684,
105,52.0007034,4.3297751,
106,51.9997110,4.3301879,fast_food
107,52.0011126,4.3310029,
108,52.0089321,4.3630228,library
109,52.0160058,4.3453738,restaurant
110,51.9764854,4.3167073,
111,52.0129328,4.3578167,
112,52.0089141,4.3597364,
113,52.0051791,4.3634402,
114,52.0102984,4.3577750,fast_food
115,52.0102539,4.3576289,restaurant
116,52.0102244,4.3575436,fast_food
117,52.0103459,4.3579469,pub
118,52.0070372,4.3554012,
119,51.9907869,4.3314429,
120,51.9994456,4.3431217,bank
121,51.9985607,4.3544380,parking
122,52.0043420,4.3939909,school
123,51.9992074,4.3470888,school
124,51.9965477,4.3441076,school
125,51.9924726,4.3439405,restaurant
126,51.9848097,4.3426974,
127,51.9999103,4.3427244,
128,51.9839325,4.3608181,school
129,52.0124421,4.3743355,
130,52.0241325,4.3547309,fast_food
131,51.9851769,4.3455308,
132,51.9830669,4.3549973,
133,51.9826824,4.3457268,doctors
134,52.0107977,4.3582897,
135,51.9973116,4.3742002,
136,52.0083684,4.3614651,warehouse
137,51.9817716,4.3938535,restaurant
138,52.0087264,4.3641018,
139,52.0092524,4.3646134,
140,52.0164353,4.3682687,pharmacy
141,51.9759915,4.3117541,fuel
142,52.0050863,4.3905225,
143,52.0190516,4.3730208,
144,52.0101997,4.3620189,fast_food
145,52.0113878,4.3567202,fast_food
146,52.0107426,4.3595448,pub
147,52.0111127,4.3625201,cafe
148,52.0088013,4.3642884,
149,52.0087275,4.3638447,
150,52.0097260,4.3628512,
151,52.0111030,4.3650760,
152,52.0003713,4.3317905,community_centre
153,52.0120679,4.3557942,cafe
154,52.0133384,4.3585620,restaurant
155,52.0008292,4.3790113,kindergarten
156,51.9946267,4.3665883,
157,52.0104180,4.3634683,
158,52.0095791,4.3591986,
159,51.9878065,4.3459232,
160,51.9878483,4.3462362,
161,52.0126541,4.3480308,
162,52.0123603,4.3465008,
163,52.0124436,4.3482256,
164,52.0124666,4.3480356,
165,52.0124017,4.3480009,
166,52.0128122,4.3426798,school
167,52.0107291,4.3442079,school
168,52.0126649,4.3545986,
169,52.0148632,4.3516931,
170,52.0149621,4.3510760,
171,52.0099621,4.3566412,
172,52.0097468,4.3561394,
173,52.0055633,4.3536696,kindergarten
174,52.0102370,4.3610578,
175,52.0016657,4.3697549,
176,52.0113191,4.3516291,
177,52.0128272,4.3571433,
178,52.0091837,4.3523313,
179,52.0090954,4.3521057,
180,52.0089347,4.3516172,
181,52.0092741,4.3525401,
182,52.0090980,4.3524933,
183,52.0092672,4.3528646,
184,52.0089673,4.3544059,
185,52.0090916,4.3544513,
186,52.0093062,4.3525819,restaurant
187,52.0093409,4.3526831,
188,52.0106540,4.3498601,restaurant
189,51.9917004,4.3568384,fuel
190,51.9824292,4.3719924,fuel
191,51.9772811,4.3168320,cafe
192,52.0091804,4.3272926,school
193,52.0090767,4.3270800,school
194,52.0136440,4.3620755,
195,51.9820253,4.3457205,restaurant
196,51.9821236,4.3465723,fast_food
197,52.0122015,4.3589958,
198,51.9988087,4.3755745,university
199,52.0187162,4.3620872,
200,51.9980592,4.3554550,
201,52.0021137,4.3461799,
202,52.0017257,4.3628186,
203,52.0014369,4.3624628,
204,51.9976297,4.3519991,
205,52.0112318,4.3453617,
206,52.0251181,4.3634035,
207,52.0106264,4.3565234,restaurant
208,52.0100395,4.3605457,
209,52.0062216,4.3612461,
210,52.0108558,4.3584407,
211,52.0044248,4.3508487,
212,52.0085932,4.3643741,
213,52.0086443,4.3644674,fast_food
214,52.0096905,4.3629203,
215,52.0105649,4.3602118,
216,52.0075012,4.3521339,
217,52.0075696,4.3520668,
218,51.9977525,4.3237978,
219,52.0066514,4.3126887,
220,52.0033855,4.3432806,kindergarten
221,52.0096885,4.3607877,
222,51.9895878,4.3691138,
223,52.0046033,4.3598929,restaurant
224,52.0101563,4.3624556,
225,51.9819342,4.3451560,
226,51.9798610,4.3188691,fire_station
227,51.9996802,4.3553327,restaurant
228,51.9990131,4.3542040,
229,51.9999860,4.3535277,
230,52.0123472,4.3626106,
231,51.9979126,4.3540245,
232,51.9972169,4.3509566,
233,52.0108198,4.3597411,pub
234,52.0113250,4.3620060,
235,52.0059997,4.3761230,
236,52.0114288,4.3579742,restaurant
237,52.0133280,4.3565001,
238,52.0150175,4.3613944,school
239,52.0051264,4.3915569,atm
240,52.0052734,4.3915151,
241,52.0111132,4.3591427,
242,52.0140715,4.3658667,parking_entrance
243,51.9815367,4.3624440,
244,51.9793764,4.3551815,
245,51.9844954,4.3409436,
246,51.9859723,4.3649595,
247,51.9819632,4.3653007,
248,51.9791512,4.3497191,
249,51.9814960,4.3667016,
250,51.9831893,4.3449748,
251,51.9853626,4.3469622,
252,51.9817769,4.3437780,
253,51.9906959,4.3757167,
254,51.9841272,4.3510408,
255,51.9831629,4.3440488,
256,51.9791461,4.3514014,
257,51.9805913,4.3389061,
258,51.9868121,4.3706287,
259,51.9806091,4.3457452,
260,51.9792819,4.3506808,
261,51.9854562,4.3620362,
262,51.9811480,4.3424699,
263,51.9868016,4.3601187,
264,51.9822640,4.3472400,
265,51.9840628,4.3495704,
266,51.9830401,4.3660517,
267,51.9811559,4.3375694,
268,51.9863726,4.3822529,
269,51.9837339,4.3477210,
270,51.9814916,4.3600350,
271,51.9835713,4.3519764,
272,51.9826962,4.3624703,
273,51.9856302,4.3630295,
274,51.9834875,4.3447043,
275,51.9848896,4.3510908,
276,51.9830204,4.3497741,social_facility
277,51.9785852,4.3394460,
278,51.9821269,4.3477752,
279,51.9824161,4.3492763,
280,51.9936930,4.3839339,
281,51.9832193,4.3427572,
282,51.9854207,4.3606572,
283,51.9844050,4.3510452,
284,51.9798344,4.3430912,
285,51.9888115,4.3602766,
286,51.9879088,4.3719427,
287,51.9858740,4.3646792,
288,51.9861488,4.3649245,
289,51.9830328,4.3416168,
290,51.9783519,4.3442733,
291,51.9899082,4.3710943,
292,51.9851219,4.3685513,
293,51.9844959,4.3629829,
294,51.9849740,4.3599126,
295,51.9831552,4.3598447,
296,51.9825293,4.3641510,
297,51.9827606,4.3367929,
298,51.9806724,4.3482605,
299,51.9865723,4.3577775,
300,51.9868937,4.3560282,
301,51.9814237,4.3451623,
302,51.9819947,4.3564481,
303,51.9817133,4.3609875,
304,51.9828114,4.3404763,
305,51.9821088,4.3493600,
306,51.9826708,4.3675311,
307,51.9855941,4.3603656,restaurant
308,51.9872700,4.3592234,
309,51.9794360,4.3701717,
310,51.9873361,4.3631315,
311,51.9800996,4.3530378,
312,51.9858883,4.3563654,
313,51.9855847,4.3640292,
314,51.9843484,4.3479529,
315,51.9836081,4.3595232,
316,51.9800291,4.3487249,
317,51.9802067,4.3476270,
318,51.9825503,4.3665808,
319,51.9797710,4.3419310,
320,51.9796882,4.3478610,
321,51.9870669,4.3579319,
322,51.9833232,4.3556511,
323,51.9815792,4.3393299,
324,51.9815486,4.3458501,
325,51.9833531,4.3416928,
326,51.9820127,4.3610281,
327,51.9825040,4.3555977,
328,51.9808300,4.3581011,
329,51.9898961,4.3753701,university
330,51.9864053,4.3587233,
331,51.9850315,4.3657057,
332,51.9832659,4.3601237,
333,51.9843728,4.3654658,
334,51.9820213,4.3638335,
335,51.9817891,4.3593337,
336,51.9813920,4.3568628,
337,51.9846856,4.3495305,
338,51.9849164,4.3433831,
339,51.9817853,4.3370829,
340,51.9802493,4.3581973,
341,51.9843512,4.3599131,school
342,51.9805249,4.3369182,
343,51.9797188,4.3446800,
344,51.9852147,4.3661180,
345,51.9823372,4.3405519,
346,51.9832747,4.3456640,
347,51.9820652,4.3419722,
348,51.9816994,4.3402121,
349,51.9800951,4.3376897,
350,51.9833593,4.3407013,
351,51.9849003,4.3713367,
352,51.9827928,4.3424296,
353,51.9877664,4.3644058,
354,51.9782094,4.3434029,
355,51.9828578,4.3476019,
356,51.9861976,4.3639084,
357,51.9846453,4.3639419,
358,51.9796905,4.3384384,
359,51.9810782,4.3443624,
360,51.9833265,4.3435565,
361,51.9793132,4.3490201,
362,51.9836258,4.3555191,
363,51.9790269,4.3484130,
364,51.9811320,4.3570959,
365,51.9850049,4.3518299,
366,51.9871115,4.3620937,
367,51.9835902,4.3588537,
368,51.9808693,4.3564813,
369,51.9867510,4.3585985,
370,51.9830108,4.3430870,
371,51.9828536,4.3551557,
372,51.9829869,4.3593747,
373,51.9832480,4.3555906,
374,51.9833142,4.3567573,
375,51.9817704,4.3583868,
376,51.9913927,4.3728897,
377,51.9857300,4.3598231,
378,51.9852907,4.3480990,
379,51.9830102,4.3569909,
380,51.9847941,4.3648670,
381,51.9822874,4.3621670,
382,51.9826621,4.3417581,
383,51.9811049,4.3372779,
384,51.9843325,4.3632914,
385,51.9831236,4.3647246,
386,51.9837029,4.3642556,
387,51.9814606,4.3487157,
388,51.9783881,4.3486255,
389,51.9837659,4.3461932,
390,51.9809276,4.3467825,
391,51.9813639,4.3592050,
392,51.9796565,4.3411987,
393,51.9819804,4.3425675,
394,51.9833853,4.3465757,
395,51.9823638,4.3388532,
396,51.9831435,4.3672685,
397,51.9796505,4.3570682,
398,51.9827860,4.3673739,
399,51.9866177,4.3612626,
400,51.9846533,4.3527604,
401,51.9841334,4.3387952,
402,51.9859337,4.3516164,dentist
403,51.9849343,4.3662573,
404,51.9850358,4.3737912,
405,51.9850889,4.3594087,
406,51.9910572,4.3730905,
407,51.9835857,4.3568687,
408,51.9831530,4.3559213,
409,51.9877242,4.3612797,
410,51.9846154,4.3663274,
411,51.9824711,4.3632558,
412,51.9823759,4.3568875,
413,51.9829042,4.3588910,
414,51.9828753,4.3376817,
415,51.9831791,4.3394613,
416,51.9818931,4.3420322,
417,51.9810157,4.3562837,
418,51.9870161,4.3569658,
419,51.9838003,4.3582479,
420,51.9818153,4.3623201,
421,51.9855208,4.3650535,
422,51.9818464,4.3646876,
423,51.9789515,4.3495364,
424,51.9832001,4.3410268,
425,51.9830682,4.3447831,
426,51.9798950,4.3580503,
427,51.9855358,4.3478691,
428,51.9873977,4.3682019,
429,51.9808955,4.3439127,
430,51.9821590,4.3653787,
431,51.9839630,4.3500176,
432,51.9829222,4.3438207,
433,51.9804464,4.3393184,
434,51.9867656,4.3716413,
435,51.9823567,4.3455606,
436,51.9790663,4.3504187,
437,51.9859427,4.3617806,
438,51.9809427,4.3426407,
439,51.9824550,4.3475555,
440,51.9837089,4.3649674,
441,51.9832642,4.3661663,
442,51.9803789,4.3373225,
443,51.9838707,4.3481849,
444,51.9811484,4.3598620,
445,51.9841329,4.3524421,
446,51.9839087,4.3516028,
447,51.9861131,4.3628556,
448,51.9837171,4.3448536,
449,51.9847371,4.3515485,
450,51.9786778,4.3387601,
451,51.9818655,4.3473962,
452,51.9822400,4.3498468,
453,51.9852212,4.3604054,
454,51.9798830,4.3428311,
455,51.9875615,4.3723513,
456,51.9862477,4.3652283,
457,51.9866045,4.3648517,
458,51.9828366,4.3418448,
459,51.9817332,4.3716421,
460,51.9781222,4.3440815,
