,latitude,longitude,amenity
0,52.0091179,4.3647530,
1,52.0095233,4.3587818,
2,52.0115528,4.3540103,cafe
3,52.0099708,4.3639453,
4,52.0142681,4.3591581,cinema
5,52.0114197,4.3594485,atm
6,52.0107160,4.3601274,
7,52.0109063,4.3625519,
8,52.0115438,4.3577108,
9,52.0122585,4.3560008,pub
10,52.0113178,4.3564921,pub
11,52.0102413,4.3603997,pub
12,52.0107632,4.3593835,nightclub
13,52.0085470,4.3621660,cafe
14,52.0106173,4.3592172,restaurant
15,52.0107459,4.3593420,
16,52.0107164,4.3592759,cafe
17,52.0129213,4.3567533,
18,52.0139015,4.3586078,restaurant
19,52.0140003,4.3585334,restaurant
20,52.0139112,4.3585578,restaurant
21,52.0144489,4.3588295,restaurant
22,52.0131326,4.3592263,
23,52.0104300,4.3615117,
24,52.0115062,4.3615593,bar
25,52.0099659,4.3649699,
26,52.0084979,4.3633065,cinema
27,52.0088009,4.3571607,pub
28,52.0098143,4.3570024,
29,52.0114615,4.3573679,cafe
30,52.0068246,4.3622215,cafe
31,52.0092997,4.3632132,
32,52.0069578,4.3610815,
33,52.0128257,4.3595691,cafe
34,52.0127664,4.3591794,cafe
35,52.0114976,4.3595464,fast_food
36,52.0102667,4.3623734,
37,52.0103517,4.3574871,fast_food
38,52.0123597,4.3571561,
39,52.0112377,4.3560511,
40,52.0119748,4.3554058,
41,52.0093214,4.3575762,
42,52.0108259,4.3563988,cafe
43,52.0109921,4.3573390,restaurant
44,52.0113443,4.3580349,restaurant
45,52.0166000,4.3524031,
46,52.0120622,4.3635686,
47,52.0113127,4.3658400,restaurant
48,52.0123158,4.3627287,
49,52.0107892,4.3676887,pub
50,52.0111720,4.3675767,school
51,52.0132607,4.3597056,
52,52.0132795,4.3596532,
53,52.0136774,4.3588315,
54,52.0157479,4.3549389,
55,52.0156031,4.3545964,
56,52.0144945,4.3633190,
57,52.0111483,4.3608202,pub
58,52.0111928,4.3626874,bar
59,52.0115617,4.3620311,cafe
60,52.0116768,4.3622968,restaurant
61,52.0117830,4.3628167,restaurant
62,52.0112378,4.3627766,restaurant
63,52.0116510,4.3630173,
64,52.0089321,4.3630228,library
65,52.0129328,4.3578167,
66,52.0089141,4.3597364,
67,52.0102984,4.3577750,fast_food
68,52.0102539,4.3576289,restaurant
69,52.0102244,4.3575436,fast_food
70,52.0103459,4.3579469,pub
71,52.0070372,4.3554012,
72,52.0107977,4.3582897,
73,52.0083684,4.3614651,warehouse
74,52.0087264,4.3641018,
75,52.0092524,4.3646134,
76,52.0164353,4.3682687,pharmacy
77,52.0101997,4.3620189,fast_food
78,52.0113878,4.3567202,fast_food
79,52.0107426,4.3595448,pub
80,52.0111127,4.3625201,cafe
81,52.0088013,4.3642884,
82,52.0087275,4.3638447,
83,52.0097260,4.3628512,
84,52.0111030,4.3650760,
85,52.0120679,4.3557942,cafe
86,52.0133384,4.3585620,restaurant
87,52.0104180,4.3634683,
88,52.0095791,4.3591986,
89,52.0126649,4.3545986,
90,52.0148632,4.3516931,
91,52.0149621,4.3510760,
92,52.0099621,4.3566412,
93,52.0097468,4.3561394,
94,52.0055633,4.3536696,kindergarten
95,52.0102370,4.3610578,
96,52.0113191,4.3516291,
97,52.0128272,4.3571433,
98,52.0091837,4.3523313,
99,52.0090954,4.3521057,
100,52.0089347,4.3516172,
101,52.0092741,4.3525401,
102,52.0090980,4.3524933,
103,52.0092672,4.3528646,
104,52.0089673,4.3544059,
105,52.0090916,4.3544513,
106,52.0093062,4.3525819,restaurant
107,52.0093409,4.3526831,
108,52.0136440,4.3620755,
109,52.0122015,4.3589958,
