,latitude,longitude,addr,amenity
0,52.0091276,4.3640613,31,['cafe']
1,52.0055958,4.3537911,1,['kindergarten']
2,52.008718,4.357106,21,"['pub', 'university', 'fast_food']"
3,52.0075076,4.3580428,119,['restaurant']
4,52.0168063,4.3511266,6,['events_venue']
5,52.00832,4.3627359,4,['parking_entrance']
6,52.0108603,4.3685076,4,[]
7,52.0089794,4.3678927,92,['cafe']
8,52.0139023,4.3512893,13,[]
9,52.0058389,4.3530381,1,[]
10,52.0114492,4.3584341,2,[]
11,52.0066181,4.3591398,87,[]
12,52.0149237,4.3672092,2,['restaurant']
13,52.0119836,4.360979,7,[]
14,52.0173805,4.3645176,36,[]
15,52.0058278,4.3595994,1,[]
16,52.0054443,4.3630699,12,[]
17,52.0058654,4.3667759,2,[]
18,52.0057764,4.3677,2,[]
19,52.0056755,4.3666113,2,[]
20,52.0056287,4.3665697,2,[]
21,52.0055342,4.3664882,2,[]
22,52.0055816,4.3665294,2,[]
23,52.005818,4.3667346,3,[]
24,52.0053448,4.3663232,2,[]
25,52.0058272,4.3676112,5,[]
26,52.0053921,4.3663646,2,[]
27,52.0054396,4.3664058,2,[]
28,52.0059667,4.3669217,7,[]
29,52.0054868,4.3664469,2,[]
30,52.0057231,4.3666523,2,[]
31,52.0052975,4.366282,3,[]
32,52.0057704,4.3666935,2,[]
33,52.0056342,4.3670438,2,[]
34,52.0054445,4.3668794,2,[]
35,52.0053496,4.3667971,2,[]
36,52.0055014,4.3681937,56,[]
37,52.0051963,4.3666638,2,[]
38,52.0054807,4.3669113,2,[]
39,52.0054462,4.3682575,2,[]
40,52.0059012,4.3668111,10,[]
41,52.0053859,4.3668283,2,[]
42,52.0062904,4.3636058,10,[]
43,52.0052911,4.3667463,2,[]
44,52.0052544,4.3667145,2,[]
45,52.0055393,4.3669617,2,[]
46,52.0056698,4.3670759,3,[]
47,52.0055755,4.3669937,2,[]
48,52.0055048,4.3619898,4,[]
49,52.0054089,4.3683546,181,[]
50,52.005273,4.3638459,12,[]
51,52.0057135,4.3657463,42,[]
52,52.0055942,4.3629688,3,[]
53,52.0059311,4.3631449,8,[]
54,52.0056448,4.3629184,3,[]
55,52.005384,4.3618099,5,[]
56,52.006184,4.3641817,14,[]
57,52.0062665,4.3645519,27,[]
58,52.0059759,4.3638847,1,[]
59,52.006162,4.3636942,1,[]
60,52.0056542,4.36267,3,[]
61,52.0059295,4.3637664,1,[]
62,52.0056222,4.3662575,1,[]
63,52.0058691,4.3643799,2,[]
64,52.0062099,4.363811,2,[]
65,52.0058424,4.3631363,9,[]
66,52.0061382,4.363636,1,[]
67,52.0060223,4.3640031,2,[]
68,52.0059527,4.3638257,1,[]
69,52.0055103,4.3625196,2,[]
70,52.0054578,4.3647576,6,[]
71,52.0061142,4.3635775,1,[]
72,52.0052515,4.366008,3,[]
73,52.0058252,4.3671222,3,[]
74,52.0056148,4.3678035,3,[]
75,52.0058822,4.3675807,103,[]
76,52.0057938,4.3631912,12,[]
77,52.0053646,4.3684249,12,[]
78,52.00547,4.3628305,3,[]
79,52.00574,4.3639921,3,[]
80,52.0054375,4.3675862,3,[]
81,52.0057085,4.3638946,1,[]
82,52.0058427,4.3642938,4,[]
83,52.0052202,4.3677737,2,[]
84,52.0052471,4.367356,3,[]
85,52.0055265,4.3629875,1,[]
86,52.0053485,4.3678679,2,[]
87,52.0053177,4.3674247,3,[]
88,52.0054988,4.3676463,3,[]
89,52.0055683,4.3677217,2,[]
90,52.0052879,4.3678161,2,[]
91,52.0055865,4.3620902,5,[]
92,52.0053968,4.3679325,2,[]
93,52.0057137,4.3639117,1,[]
94,52.0053807,4.3674824,3,[]
95,52.0052826,4.3617958,3,[]
96,52.0165157,4.361998,3,[]
97,52.0165956,4.3642052,3,[]
98,52.0181965,4.3613183,1,[]
99,52.0148277,4.364268,6,[]
100,52.0176407,4.3613944,8,[]
101,52.0165575,4.3642171,5,[]
102,52.0175765,4.3691332,2,[]
103,52.0171746,4.3611049,14,[]
104,52.0175816,4.3610464,2,[]
105,52.0179378,4.3601016,3,[]
106,52.017313,4.361557,5,[]
107,52.0136464,4.3660001,3,[]
108,52.0177664,4.3667375,1,[]
109,52.016198,4.3638489,24,[]
110,52.0136862,4.3659408,4,[]
111,52.0177836,4.3667774,2,[]
112,52.0174821,4.3660732,1,[]
113,52.0174652,4.3660334,1,[]
114,52.0137263,4.3659014,2,[]
115,52.0164563,4.3621224,2,[]
116,52.0125953,4.3681079,1,[]
117,52.0138894,4.3677965,3,[]
118,52.0171755,4.3653556,1,[]
119,52.0139796,4.3676933,3,[]
120,52.0180682,4.3674439,1,[]
121,52.0171584,4.3653156,3,[]
