,center_lat,center_lon
0,52.0091276,4.3640613
1,52.0055958,4.3537911
2,52.0087180,4.3571060
3,52.0075076,4.3580428
4,52.0168063,4.3511266
5,52.0083200,4.3627359
6,52.0162409,4.3673029
7,52.0108603,4.3685076
8,52.0089794,4.3678927
9,52.0139023,4.3512893
10,52.0058389,4.3530381
11,52.0114492,4.3584341
12,52.0066181,4.3591398
13,52.0149237,4.3672092
14,52.0073378,4.3614629
15,52.0122915,4.3608044
16,52.0119836,4.3609790
17,52.0173805,4.3645176
18,52.0058278,4.3595994
19,52.0125962,4.3559036
20,52.0054443,4.3630699
21,52.0058654,4.3667759
22,52.0057764,4.3677000
23,52.0056755,4.3666113
24,52.0056287,4.3665697
25,52.0055342,4.3664882
26,52.0052023,4.3661995
27,52.0055816,4.3665294
28,52.0058180,4.3667346
29,52.0053448,4.3663232
30,52.0058272,4.3676112
31,52.0053921,4.3663646
32,52.0054396,4.3664058
33,52.0059667,4.3669217
34,52.0054868,4.3664469
35,52.0057231,4.3666523
36,52.0052975,4.3662820
37,52.0057704,4.3666935
38,52.0056342,4.3670438
39,52.0054445,4.3668794
40,52.0053496,4.3667971
41,52.0055014,4.3681937
42,52.0051963,4.3666638
43,52.0054807,4.3669113
44,52.0054462,4.3682575
45,52.0059012,4.3668111
46,52.0053859,4.3668283
47,52.0062904,4.3636058
48,52.0052911,4.3667463
49,52.0052544,4.3667145
50,52.0055393,4.3669617
51,52.0056698,4.3670759
52,52.0055755,4.3669937
53,52.0055048,4.3619898
54,52.0054089,4.3683546
55,52.0052730,4.3638459
56,52.0057135,4.3657463
57,52.0055942,4.3629688
58,52.0059311,4.3631449
59,52.0056448,4.3629184
60,52.0053840,4.3618099
61,52.0061840,4.3641817
62,52.0062665,4.3645519
63,52.0061859,4.3637524
64,52.0059759,4.3638847
65,52.0061620,4.3636942
66,52.0054429,4.3672628
67,52.0056542,4.3626700
68,52.0059295,4.3637664
69,52.0056222,4.3662575
70,52.0058691,4.3643799
71,52.0062099,4.3638110
72,52.0054344,4.3623637
73,52.0059990,4.3639437
74,52.0058424,4.3631363
75,52.0061382,4.3636360
76,52.0055833,4.3673877
77,52.0060223,4.3640031
78,52.0059527,4.3638257
79,52.0055103,4.3625196
80,52.0055361,4.3673455
81,52.0054578,4.3647576
82,52.0061142,4.3635775
83,52.0052515,4.3660080
84,52.0053959,4.3672201
85,52.0052643,4.3671052
86,52.0058252,4.3671222
87,52.0053118,4.3671469
88,52.0056148,4.3678035
89,52.0058822,4.3675807
90,52.0057938,4.3631912
91,52.0053646,4.3684249
92,52.0054700,4.3628305
93,52.0057400,4.3639921
94,52.0054375,4.3675862
95,52.0057085,4.3638946
96,52.0051754,4.3618689
97,52.0058427,4.3642938
98,52.0052202,4.3677737
99,52.0052471,4.3673560
100,52.0055265,4.3629875
101,52.0053485,4.3678679
102,52.0053177,4.3674247
103,52.0054988,4.3676463
104,52.0055683,4.3677217
105,52.0052879,4.3678161
106,52.0051828,4.3673057
107,52.0055865,4.3620902
108,52.0053968,4.3679325
109,52.0057137,4.3639117
110,52.0053807,4.3674824
111,52.0052826,4.3617958
112,52.0165157,4.3619980
113,52.0165956,4.3642052
114,52.0181965,4.3613183
115,52.0148277,4.3642680
116,52.0176407,4.3613944
117,52.0165575,4.3642171
118,52.0175765,4.3691332
119,52.0171746,4.3611049
120,52.0166489,4.3691515
121,52.0175816,4.3610464
122,52.0179378,4.3601016
123,52.0173130,4.3615570
124,52.0136464,4.3660001
125,52.0177664,4.3667375
126,52.0161980,4.3638489
127,52.0136862,4.3659408
128,52.0177836,4.3667774
129,52.0174821,4.3660732
130,52.0174652,4.3660334
131,52.0183715,4.3681513
132,52.0137263,4.3659014
133,52.0164563,4.3621224
134,52.0182968,4.3621330
135,52.0125953,4.3681079
136,52.0138894,4.3677965
137,52.0171755,4.3653556
138,52.0139796,4.3676933
139,52.0180682,4.3674439
140,52.0171584,4.3653156
141,52.0180855,4.3674837
142,52.0176566,4.3678243
143,52.0163562,4.3655183
144,52.0140091,4.3670775
145,52.0169333,4.3614696
146,52.0162993,4.3647235
147,52.0167313,4.3688692
148,52.0161515,4.3626540
149,52.0178776,4.3602850
150,52.0165818,4.3668829
151,52.0142813,4.3677177
152,52.0183146,4.3622611
153,52.0181534,4.3622425
154,52.0131120,4.3688011
155,52.0177631,4.3670391
156,52.0140933,4.3676312
157,52.0174566,4.3608863
158,52.0182764,4.3661622
159,52.0151925,4.3641857
160,52.0172869,4.3690356
161,52.0139076,4.3679783
162,52.0182179,4.3641015
163,52.0155704,4.3639395
164,52.0159037,4.3646446
165,52.0129396,4.3679023
166,52.0177356,4.3658119
167,52.0175688,4.3657178
168,52.0138671,4.3666458
169,52.0174028,4.3609548
170,52.0179942,4.3604581
171,52.0183576,4.3650118
172,52.0144884,4.3677454
173,52.0181346,4.3622037
174,52.0128728,4.3678184
175,52.0176955,4.3686395
176,52.0165143,4.3625105
177,52.0176179,4.3607807
178,52.0156743,4.3652050
179,52.0148431,4.3684813
180,52.0153897,4.3655200
181,52.0168579,4.3632865
182,52.0158636,4.3649955
183,52.0170440,4.3634695
184,52.0162399,4.3630137
185,52.0162995,4.3631561
186,52.0167432,4.3640161
187,52.0123244,4.3691004
188,52.0127278,4.3680642
189,52.0164937,4.3636235
190,52.0179191,4.3605517
191,52.0145565,4.3684737
192,52.0132404,4.3691015
193,52.0178101,4.3627171
194,52.0174119,4.3688987
195,52.0153433,4.3639880
196,52.0120972,4.3690035
197,52.0139945,4.3669277
198,52.0177610,4.3669955
199,52.0175927,4.3655101
200,52.0182966,4.3622812
201,52.0180046,4.3654192
202,52.0178383,4.3685442
203,52.0168473,4.3632618
204,52.0173706,4.3633240
205,52.0170006,4.3623863
206,52.0134465,4.3669261
207,52.0181212,4.3654556
208,52.0164152,4.3625273
209,52.0165354,4.3625609
210,52.0146055,4.3647817
211,52.0153055,4.3640374
212,52.0159586,4.3647748
213,52.0180672,4.3621666
214,52.0152302,4.3641363
215,52.0163686,4.3633217
216,52.0151052,4.3651529
217,52.0182478,4.3681297
218,52.0183383,4.3672245
219,52.0179540,4.3619538
220,52.0155987,4.3652887
221,52.0181257,4.3663315
222,52.0152309,4.3640661
223,52.0169064,4.3634280
224,52.0126109,4.3686348
225,52.0159771,4.3648698
226,52.0173886,4.3633035
227,52.0176710,4.3667144
228,52.0166323,4.3687349
229,52.0181182,4.3624621
230,52.0165433,4.3637407
231,52.0180374,4.3665188
232,52.0124085,4.3687799
233,52.0182086,4.3623790
234,52.0179165,4.3656084
235,52.0124807,4.3688564
236,52.0139797,4.3668950
237,52.0174616,4.3663337
238,52.0179305,4.3615483
239,52.0181280,4.3664171
240,52.0157320,4.3650776
241,52.0176450,4.3659138
242,52.0126571,4.3681152
243,52.0148895,4.3658026
244,52.0183059,4.3671713
245,52.0157501,4.3651212
246,52.0176379,4.3629846
247,52.0152420,4.3654780
248,52.0136768,4.3673630
249,52.0168511,4.3661323
250,52.0180757,4.3620592
251,52.0180654,4.3601895
252,52.0176242,4.3687181
253,52.0168288,4.3630357
254,52.0174595,4.3662900
255,52.0180296,4.3619598
256,52.0155091,4.3638168
257,52.0173018,4.3633935
258,52.0125498,4.3678269
259,52.0151254,4.3642006
260,52.0178205,4.3685017
261,52.0177257,4.3628859
262,52.0130550,4.3687385
263,52.0158404,4.3631790
264,52.0176571,4.3622691
265,52.0138034,4.3665057
266,52.0123363,4.3689620
267,52.0155600,4.3653316
268,52.0177857,4.3686022
269,52.0155025,4.3645781
270,52.0174738,4.3632066
271,52.0160529,4.3647860
272,52.0167074,4.3627556
273,52.0175052,4.3655690
274,52.0181327,4.3654827
275,52.0179060,4.3665571
276,52.0153517,4.3655618
277,52.0150505,4.3650228
278,52.0178392,4.3684811
279,52.0125936,4.3690861
280,52.0177925,4.3604592
281,52.0166931,4.3630366
282,52.0168285,4.3633626
283,52.0159393,4.3649117
284,52.0176235,4.3687810
285,52.0159334,4.3648549
286,52.0171604,4.3681866
