,latitude,longitude,amenity
0,52.0012405,4.3502639,fuel
1,51.9813673,4.3940784,fast_food
2,51.9848153,4.3953820,fast_food
3,51.9762582,4.3173129,
4,52.0021000,4.3542700,
5,52.0091179,4.3647530,
6,51.9881883,4.3278741,
7,51.9758977,4.3185170,
8,52.0095233,4.3587818,
9,52.0115528,4.3540103,cafe
10,51.9876112,4.3555009,fuel
11,52.0008626,4.3508340,fuel
12,52.0045902,4.3934735,school
13,52.0156537,4.3354754,fuel
14,51.9851633,4.3606541,
15,52.0280811,4.3627334,fuel
16,52.0099708,4.3639453,
17,52.0142681,4.3591581,cinema
18,51.9990040,4.3285083,fire_station
19,52.0060631,4.3124002,
20,52.0160786,4.3037748,fast_food
21,52.0114197,4.3594485,atm
22,52.0110609,4.3489997,
23,52.0107160,4.3601274,
24,52.0049879,4.3910996,
25,52.0009425,4.3300020,atm
26,52.0109063,4.3625519,
27,52.0115438,4.3577108,
28,52.0053818,4.3913823,
29,52.0053344,4.3914991,fast_food
30,52.0122585,4.3560008,pub
31,52.0113178,4.3564921,pub
32,52.0102413,4.3603997,pub
33,52.0107632,4.3593835,nightclub
34,52.0157515,4.3764957,
35,52.0085470,4.3621660,cafe
36,52.0106173,4.3592172,restaurant
37,52.0107459,4.3593420,
38,52.0107164,4.3592759,cafe
39,52.0129213,4.3567533,
40,52.0139015,4.3586078,restaurant
41,52.0140003,4.3585334,restaurant
42,52.0139112,4.3585578,restaurant
43,52.0144489,4.3588295,restaurant
44,52.0131326,4.3592263,
45,52.0104300,4.3615117,
46,52.0115062,4.3615593,bar
47,52.0099659,4.3649699,
48,52.0110325,4.3991116,fuel
49,51.9980129,4.3655630,
50,52.0070813,4.3751739,
51,52.0084979,4.3633065,cinema
52,51.9945548,4.3615388,fuel
53,52.0050189,4.3743880,cafe
54,52.0046760,4.3593943,
55,52.0088009,4.3571607,pub
56,52.0098143,4.3570024,
57,52.0114615,4.3573679,cafe
58,52.0036485,4.3669663,
59,52.0068246,4.3622215,cafe
60,52.0092997,4.3632132,
61,52.0069578,4.3610815,
62,52.0128257,4.3595691,cafe
63,52.0127664,4.3591794,cafe
64,52.0114976,4.3595464,fast_food
65,52.0102667,4.3623734,
66,52.0103517,4.3574871,fast_food
67,52.0123597,4.3571561,
68,51.9990783,4.3551428,fast_food
69,51.9993382,4.3551422,
70,51.9991447,4.3551246,fast_food
71,52.0003218,4.3549087,restaurant
72,52.0023819,4.3548336,
73,52.0112377,4.3560511,
74,52.0119748,4.3554058,
75,52.0093214,4.3575762,
76,52.0108259,4.3563988,cafe
77,52.0109921,4.3573390,restaurant
78,52.0113443,4.3580349,restaurant
79,52.0166000,4.3524031,
80,52.0072916,4.3748969,atm
81,52.0065743,4.3800345,restaurant
82,52.0120622,4.3635686,
83,52.0113127,4.3658400,restaurant
84,52.0123158,4.3627287,
85,52.0107892,4.3676887,pub
86,52.0111720,4.3675767,school
87,52.0132607,4.3597056,
88,52.0132795,4.3596532,
89,52.0136774,4.3588315,
90,52.0157479,4.3549389,
91,52.0156031,4.3545964,
92,52.0144945,4.3633190,
93,52.0025360,4.3532315,fire_station
94,52.0049244,4.3911466,pharmacy
95,52.0128008,4.3353927,fast_food
96,52.0130414,4.3361911,
97,52.0116190,4.3482893,
98,52.0111411,4.3483135,
99,52.0117008,4.3485832,
100,52.0122387,4.3479195,
101,51.9963879,4.3552499,pub
102,52.0111483,4.3608202,pub
103,52.0111928,4.3626874,bar
104,52.0115617,4.3620311,cafe
105,52.0116768,4.3622968,restaurant
106,52.0117830,4.3628167,restaurant
107,52.0112378,4.3627766,restaurant
108,52.0116510,4.3630173,
109,51.9996143,4.3297684,
110,52.0007034,4.3297751,
111,51.9997110,4.3301879,fast_food
112,52.0011126,4.3310029,
113,52.0089321,4.3630228,library
114,52.0160058,4.3453738,restaurant
115,51.9764854,4.3167073,
116,52.0129328,4.3578167,
117,52.0089141,4.3597364,
118,52.0051791,4.3634402,
119,52.0102984,4.3577750,fast_food
120,52.0102539,4.3576289,restaurant
121,52.0102244,4.3575436,fast_food
122,52.0103459,4.3579469,pub
123,52.0070372,4.3554012,
124,51.9974641,4.3971856,fuel
125,51.9907869,4.3314429,
126,51.9994456,4.3431217,bank
127,51.9985607,4.3544380,parking
128,52.0043420,4.3939909,school
129,52.0040938,4.3945090,school
130,51.9992074,4.3470888,school
131,51.9965477,4.3441076,school
