,latitude,longitude,addr,amenity
0,52.0049206,4.3926066,1,[]
1,52.0058714,4.3726425,31,[]
2,52.0091276,4.3640613,31,['cafe']
3,51.9933948,4.3868128,2,[]
4,52.0108659,4.3807611,1,[]
5,51.9994379,4.3286138,31,[]
6,52.00129,4.3307234,16,[]
7,51.9988823,4.3312961,1,[]
8,51.9993811,4.3320424,4,[]
9,52.0123993,4.3415742,70,[]
10,52.0043206,4.3481927,143,[]
11,52.0069876,4.3488398,52,['school']
12,52.0032399,4.3533433,272,"['fire_station', 'police']"
13,52.0033258,4.354329,15,[]
14,52.0055958,4.3537911,1,['kindergarten']
15,52.008718,4.357106,21,"['pub', 'university', 'fast_food']"
16,52.0075076,4.3580428,119,['restaurant']
17,52.0168063,4.3511266,7,['events_venue']
18,52.00832,4.3627359,4,['parking_entrance']
19,52.0238838,4.3533216,1,[]
20,51.9967553,4.3375455,2,[]
21,51.9898362,4.3392751,1,[]
22,51.9908969,4.3408412,54,[]
23,51.9954793,4.3438203,255,['pharmacy']
24,51.9896512,4.335423,6,[]
25,51.9970084,4.3495397,34,[]
26,51.996448,4.3477135,2,['library']
27,51.9970563,4.3472602,1,[]
28,51.9971087,4.3557974,163,"['restaurant', 'dentist']"
29,51.9986321,4.3538324,360,"['parking', 'atm', 'fast_food', 'fast_food', 'atm', 'fast_food']"
30,51.9928263,4.3555937,65,[]
31,51.9907876,4.3521474,173,[]
32,51.9823639,4.3491161,13,[]
33,51.9857954,4.3526003,1,[]
34,51.9864081,4.3528273,1,[]
35,51.9830331,4.3549948,18,[]
36,52.0108673,4.3703992,40,[]
37,52.0128713,4.3751472,12,[]
38,52.0107206,4.3887668,1,[]
39,52.0070037,4.3745032,2,[]
40,52.0053607,4.3711569,6,['university']
41,52.0042735,4.3686036,4,[]
42,51.9822146,4.3787396,4,[]
43,51.9902936,4.3734223,1,[]
44,51.9853322,4.3810779,1,[]
45,51.9854715,4.3818388,1,[]
46,51.9855513,4.3821462,2,[]
47,51.9858003,4.3879735,1,[]
48,51.9919208,4.3758778,1,[]
49,52.0192327,4.3888168,2,['kindergarten']
50,52.0188337,4.3901107,2,[]
51,52.0253168,4.3956332,3,[]
52,52.0088464,4.3966433,1,[]
53,51.9962852,4.3471198,91,[]
54,52.0006872,4.3791114,72,[]
55,52.0253429,4.3730363,1,[]
56,52.0245478,4.3741726,1,['restaurant']
57,52.0256342,4.3646637,41,['restaurant']
58,52.0244504,4.3460193,1,[]
59,52.0258102,4.3551914,4,[]
60,51.9981038,4.3839343,5,[]
61,52.0150818,4.3168142,1,[]
62,52.0139719,4.3178118,1,[]
63,51.9979924,4.3859196,14,[]
64,52.0182757,4.3155355,3,[]
65,52.0108603,4.3685076,4,[]
66,52.0196943,4.3694556,1,[]
67,51.9927422,4.3678623,3,['community_centre']
68,52.0089794,4.3678927,82,['cafe']
69,51.9786462,4.367743,1,[]
70,51.9787687,4.3684266,3,[]
71,51.9953487,4.3541868,391,['restaurant']
72,51.9953449,4.3532313,159,[]
73,51.9957933,4.3500716,33,"['clinic', 'fast_food']"
74,51.9861229,4.3524361,1,[]
75,51.9861735,4.352007,2,['dentist']
76,52.0139023,4.3512893,13,[]
77,51.991593,4.3730648,3,[]
78,52.0058389,4.3530381,1,[]
79,51.9961688,4.3609086,24,[]
80,52.003304,4.3433802,2,['kindergarten']
81,52.0197768,4.3898278,1,[]
82,52.0023231,4.3707175,7,['cafe']
83,52.0114492,4.3584341,2,[]
84,52.0072939,4.3751552,8,['atm']
85,52.0238959,4.3090425,2,[]
86,52.0066181,4.3591398,87,[]
87,52.0140337,4.3699639,1,[]
88,52.0149237,4.3672092,2,['restaurant']
89,52.0119836,4.360979,7,[]
90,52.0173805,4.3645176,36,[]
91,52.0276981,4.316325,136,[]
92,52.0058278,4.3595994,1,[]
93,52.025958,4.3092252,73,[]
94,52.0027824,4.3953277,26,[]
95,52.0096044,4.3949631,4,[]
96,51.9843898,4.3397592,2,[]
97,51.9856093,4.3728447,4,[]
98,51.97621,4.3843409,1,[]
99,51.9842812,4.3390474,4,[]
100,51.9847949,4.367367,1,[]
101,51.9850867,4.3713953,5,[]
102,51.984199,4.3396888,4,[]
103,51.9844622,4.3402014,3,[]
104,51.987479,4.3732582,10,[]
105,51.983174,4.3597576,13,[]
106,51.9843726,4.3396233,2,[]
107,51.984129,4.3391042,4,[]
108,51.9878916,4.3620166,4,[]
109,51.9889466,4.3615124,3,[]
110,51.9823723,4.3787506,8,[]
111,51.9871091,4.3713128,3,[]
112,51.9842462,4.3531097,1,[]
113,51.9843446,4.3394712,4,[]
114,51.9889611,4.3743993,2,[]
115,51.987261,4.3720087,11,[]
116,51.9868379,4.3754622,5,[]
117,51.9809632,4.3507382,1,[]
118,51.980339,4.3789229,2,[]
119,51.987297,4.3678517,7,[]
120,51.9757047,4.3828752,2,[]
121,51.9865151,4.381406,1,[]
122,51.9843098,4.3402692,6,[]
123,51.9923931,4.3788507,1,[]
124,51.985709,4.3738938,2,[]
125,51.9875764,4.3726712,23,['cafe']
126,51.9771775,4.3811952,1,[]
127,51.98464,4.3553968,3,[]
128,51.9849217,4.3741038,8,['car_wash']
129,51.9865169,4.3725869,1,[]
130,51.9831396,4.3755245,2,[]
131,51.9864975,4.3759164,2,[]
132,51.9858012,4.3695301,4,[]
133,51.9869303,4.3694486,11,[]
134,51.9853876,4.371333,1,[]
135,51.9853615,4.3602634,6,['pub']
136,51.9911575,4.3719566,4,[]
137,51.9844098,4.3544585,13,[]
138,51.9851956,4.3608521,10,[]
139,51.9825106,4.3734537,3,[]
140,51.9893628,4.3635612,24,[]
141,51.9833583,4.3373585,19,[]
142,51.9860362,4.3762331,1,[]
143,51.9868741,4.3562606,1,[]
144,51.9810652,4.3379416,1,[]
145,51.9787891,4.3450481,8,[]
146,51.9837817,4.3595275,7,[]
147,51.9831238,4.3401885,1,[]
148,51.9857127,4.3536297,1,[]
149,51.9813607,4.345572,1,[]
150,51.9819782,4.3422805,1,[]
151,51.9778829,4.3438407,1,[]
152,51.9865037,4.3600272,2,[]
153,51.9821419,4.3450106,1,[]
154,51.9872871,4.3594777,6,[]
155,51.9820415,4.3644565,7,[]
156,51.9858831,4.3619037,3,[]
157,51.9853256,4.3522386,2,[]
158,51.9799848,4.3574102,1,[]
159,51.9808812,4.3615874,1,[]
160,51.9839461,4.3513547,1,[]
161,51.9836572,4.3538241,1,[]
162,51.9873168,4.3596966,17,[]
163,51.9836517,4.3504891,2,[]
164,51.9814935,4.3575502,1,[]
165,51.9872352,4.3609353,3,[]
166,51.9816909,4.3665584,1,[]
167,51.98176,4.3669866,2,[]
168,51.9838244,4.345942,3,[]
169,51.9849622,4.3572651,1,[]
170,51.9849269,4.3572797,2,[]
171,51.9804058,4.3586739,1,[]
172,51.9849201,4.3505998,2,[]
173,51.9824174,4.3389327,1,[]
174,51.9838715,4.3524708,2,[]
175,51.9818761,4.337566,1,[]
176,51.9803793,4.3382225,2,[]
177,51.9837065,4.3521317,1,[]
178,51.9818381,4.3574094,1,[]
179,51.9819093,4.3486982,2,[]
180,51.9850246,4.3510619,1,[]
181,51.9845695,4.3575476,2,[]
182,51.9797309,4.3547769,14,[]
183,51.9850702,4.3620763,1,[]
184,51.9826021,4.3613732,10,[]
185,51.9817306,4.3612245,1,[]
186,51.9790331,4.3387018,1,[]
187,51.9859548,4.3622176,3,[]
188,51.9785204,4.3399274,1,[]
189,51.9878772,4.3618599,4,[]
190,51.9825621,4.3617846,3,[]
191,51.9856762,4.3588947,3,[]
192,51.9849399,4.3502203,1,[]
193,51.9815711,4.3674723,2,[]
194,51.9793953,4.3417409,1,[]
195,51.9804855,4.3462369,1,[]
196,51.984857,4.3519245,5,[]
197,51.9810668,4.3627236,1,[]
198,51.9793625,4.3417542,1,[]
199,51.9792982,4.3510625,1,[]
200,51.9798279,4.3435193,3,[]
201,51.9803355,4.349485,10,[]
202,51.9839864,4.3458524,2,[]
203,51.9784229,4.3467283,2,[]
204,51.9819352,4.3420056,26,[]
205,51.9799318,4.3469057,2,[]
206,51.9835355,4.3393353,1,[]
207,51.9817359,4.3562079,2,[]
208,51.9845556,4.3482497,3,[]
209,51.978581,4.3403158,1,[]
210,51.9836827,4.3495636,3,[]
211,51.9836668,4.3494619,3,[]
212,51.9832125,4.3580351,1,[]
213,51.9860499,4.3629739,4,[]
214,51.979794,4.3423021,4,[]
215,51.9846397,4.3580101,2,[]
216,51.9863969,4.3653211,1,[]
217,51.9847021,4.3623176,1,[]
218,51.9817548,4.3612146,1,[]
219,51.9859305,4.3611692,1,[]
220,51.9794252,4.3419315,1,[]
221,51.9841576,4.3522012,1,[]
222,51.9821511,4.3403939,1,[]
223,51.97822,4.3437534,1,[]
224,51.9800289,4.357901,1,[]
225,51.9851287,4.3531129,2,[]
226,51.9840636,4.3654233,15,[]
227,51.9839491,4.3535415,4,[]
228,51.9823988,4.3599457,3,[]
229,51.9823573,4.3558173,1,[]
230,51.9811489,4.3456123,1,[]
231,51.9814679,4.3432673,22,[]
232,51.9837326,4.352121,1,[]
233,51.9834922,4.3447699,8,[]
234,51.9841347,4.3493099,1,[]
235,51.9817497,4.3376177,2,[]
236,51.9814801,4.3387556,4,[]
237,51.9834452,4.3485353,6,[]
238,51.9838394,4.3499793,2,[]
239,51.9821534,4.3651238,41,[]
240,51.9833868,4.3525216,1,[]
241,51.9845595,4.3646562,1,[]
242,51.9808765,4.3615589,1,[]
243,51.9871706,4.3637703,4,[]
244,51.9837462,4.3537878,1,[]
245,51.9813094,4.3569871,1,[]
246,51.9797529,4.3433699,1,[]
247,51.9814547,4.3651023,1,[]
248,51.9787655,4.348228,1,[]
249,51.9813439,4.3644229,2,[]
250,51.9834334,4.338683,1,[]
251,51.9834051,4.3385017,1,[]
252,51.9779969,4.344724,2,[]
253,51.9821954,4.3406779,24,[]
254,51.9850056,4.3661185,4,[]
255,51.9814942,4.3358101,14,[]
256,51.980128,4.3393134,29,[]
257,51.9797827,4.3426095,1,[]
258,51.9785713,4.3683711,1,[]
259,51.979936,4.3415839,23,[]
260,51.9840724,4.3515541,1,[]
261,51.9823653,4.3494605,2,[]
262,51.980649,4.3601638,1,[]
263,51.9806886,4.3604062,1,[]
264,51.982113,4.3374146,1,[]
265,51.9815385,4.3656149,25,[]
266,51.9850703,4.3584582,4,[]
267,51.9811955,4.3447199,1,[]
268,51.9800229,4.3576498,1,[]
269,51.983806,4.341066,1,[]
270,51.9856583,4.3588794,2,[]
271,51.98163,4.3661816,1,[]
272,51.9828606,4.3386451,1,[]
273,51.9803503,4.3570953,2,[]
274,51.9816056,4.3621367,16,[]
275,51.9847283,4.3626014,1,[]
276,51.9821953,4.3583923,7,[]
277,51.9791013,4.339921,1,[]
278,51.9774411,4.3432549,3,[]
279,51.9852625,4.350302,2,[]
280,51.9944242,4.384315,2,[]
281,51.9786287,4.3406215,19,[]
282,51.9840565,4.3514524,1,[]
283,51.9846356,4.3519925,1,[]
284,51.9810737,4.3569699,1,[]
285,51.9838501,4.3446237,4,[]
286,51.9796034,4.3479675,2,[]
287,51.9854937,4.3539932,1,[]
288,51.9837455,4.3502342,2,[]
289,51.9820021,4.3633495,22,[]
290,51.9789565,4.3387256,4,[]
291,51.9853694,4.3514499,10,[]
292,51.9818033,4.3672569,1,[]
293,51.9818184,4.3431238,1,[]
294,51.9840319,4.3515408,1,[]
295,51.98336,4.3382125,1,[]
296,51.9845271,4.364478,2,[]
297,51.9778915,4.3438934,2,[]
298,51.9813124,4.3607096,4,[]
299,51.985094,4.3622287,1,[]
300,51.9850169,4.3650675,4,[]
301,51.9813672,4.3456089,22,[]
302,51.9811514,4.3632415,1,[]
303,51.9847248,4.3625634,1,[]
304,51.9840896,4.345662,2,[]
305,51.9837158,4.3404885,1,[]
306,51.9818947,4.3620852,3,[]
307,51.9781796,4.3455654,24,[]
308,51.9799854,4.3477952,1,[]
309,51.9848563,4.3496865,1,[]
310,51.9793926,4.3419451,1,[]
311,51.9840515,4.3483312,1,[]
312,51.9800247,4.3486579,2,[]
313,51.9834726,4.3389335,1,[]
314,51.9804471,4.3381947,2,[]
315,51.9834277,4.3513168,1,[]
316,51.9838903,4.3513776,1,[]
317,51.984578,4.348394,4,[]
318,51.9828828,4.3387889,1,[]
319,51.9799413,4.3478151,2,[]
320,51.9796628,4.3411265,2,[]
321,51.9820187,4.3374531,1,[]
322,51.9839089,4.3513699,2,[]
323,51.9847279,4.3523384,2,[]
324,51.9809029,4.3380079,2,[]
325,51.9818859,4.3648006,4,[]
326,51.9806021,4.343563,1,[]
327,51.9814326,4.3649667,1,[]
328,51.9791035,4.3387281,1,[]
329,51.9807462,4.344265,4,[]
330,51.9816199,4.342783,2,[]
331,51.9823809,4.3382346,2,[]
332,51.9805184,4.3435973,1,[]
333,51.9805272,4.3496852,13,[]
334,51.9819445,4.3606796,26,[]
335,51.9856898,4.3650401,2,[]
336,51.9809425,4.3619625,1,[]
337,51.9841142,4.3483054,1,[]
338,51.9851715,4.3523017,1,[]
339,51.9846482,4.3566544,1,[]
340,51.9816235,4.3578526,3,[]
341,51.9801591,4.3486027,1,[]
342,51.9823701,4.3406074,5,[]
343,51.9841507,4.3512707,2,[]
344,51.9781311,4.3437913,2,[]
345,51.9836088,4.3398043,1,[]
346,51.9827814,4.3371162,1,[]
347,51.978549,4.3463456,1,[]
348,51.9817554,4.3669582,5,[]
349,51.9821115,4.3431329,1,[]
350,51.9807288,4.3465578,1,[]
351,51.9867716,4.3720212,2,[]
352,51.9827743,4.3729335,5,['car_rental']
353,51.9810695,4.3440988,1,[]
354,51.9853801,4.3815003,1,[]
355,51.9848217,4.3656935,2,[]
356,51.9819367,4.3576776,4,[]
357,51.9850814,4.3685792,1,[]
358,51.9814944,4.3653448,1,[]
359,51.9820676,4.3610693,4,[]
360,51.9851029,4.3515589,1,[]
361,51.9869447,4.3627658,3,[]
362,51.9852251,4.3523422,1,[]
363,51.9851056,4.3650306,6,[]
364,51.9799072,4.3467628,3,[]
365,51.983483,4.3531393,1,[]
366,51.9806222,4.3599995,1,[]
367,51.9798575,4.3464748,2,[]
368,51.9818207,4.3577249,1,[]
369,51.9806544,4.3463047,1,[]
370,51.9862535,4.35719,1,[]
371,51.9798288,4.3528393,1,[]
372,51.9821659,4.3383226,1,[]
373,51.9860375,4.3572941,1,[]
374,51.9845764,4.3662438,4,[]
375,51.9812744,4.3610393,4,[]
376,51.9817763,4.3574347,1,[]
377,51.9812397,4.3637834,1,[]
378,51.9800702,4.3486393,1,[]
379,51.9796813,4.3385087,4,[]
380,51.9871505,4.3638044,2,[]
381,51.9847331,4.3581307,2,[]
382,51.9828836,4.3379543,2,[]
383,51.9851723,4.3497245,3,[]
384,51.9828969,4.3386597,1,[]
385,51.9856989,4.3622078,1,[]
386,51.9829572,4.3397912,1,[]
387,51.9845684,4.3515611,1,[]
388,51.9839832,4.3513393,2,[]
389,51.9852902,4.3635516,1,[]
390,51.9846478,4.3490145,1,[]
391,51.983075,4.3401004,1,[]
392,51.9815473,4.3376866,2,[]
393,51.9809336,4.3432981,1,[]
394,51.9812472,4.3570118,1,[]
395,51.984611,4.3525295,5,[]
396,51.9793346,4.3413537,1,[]
397,51.980351,4.349755,1,[]
398,51.9783614,4.344625,1,[]
399,51.9834425,4.3587543,1,[]
400,51.9840205,4.3513241,2,[]
401,51.9846124,4.3490913,1,[]
402,51.9857131,4.3612582,2,[]
403,51.9845323,4.349873,2,[]
404,51.9814821,4.3424863,1,[]
405,51.9812404,4.3596738,3,[]
406,51.9810687,4.3569382,1,[]
407,51.9847806,4.3655606,2,[]
408,51.9790468,4.3397905,1,[]
409,51.9857854,4.3657571,1,[]
410,51.9841988,4.3491062,1,[]
411,51.9867697,4.3592476,1,[]
412,51.9813284,4.3427239,2,[]
413,51.9839702,4.365721,7,[]
414,51.983603,4.3397669,1,[]
415,51.9810864,4.3456417,2,[]
416,51.9847579,4.3509837,10,[]
417,51.9866131,4.357985,2,[]
418,51.9805791,4.3435724,1,[]
419,51.9833807,4.3514444,2,[]
420,51.9814331,4.3666162,1,[]
421,51.9833523,4.3600012,18,[]
422,51.9814502,4.365074,1,[]
423,51.9853074,4.3505902,1,[]
424,51.9854862,4.3623416,2,[]
425,51.9816037,4.3660181,3,[]
426,51.9833131,4.3379125,2,[]
427,51.9848121,4.3516366,5,[]
428,51.9848049,4.377205,14,[]
429,51.9810559,4.3444416,1,[]
430,51.984232,4.3644243,3,[]
431,51.9822241,4.3391779,1,[]
432,51.984517,4.3572109,2,[]
433,51.9851274,4.3494371,3,[]
434,51.9819957,4.3641735,16,[]
435,51.9817627,4.3563568,2,[]
436,51.9833934,4.3525638,1,[]
437,51.9820622,4.3603371,1,[]
438,51.9875496,4.3630661,3,[]
439,51.9840459,4.3457679,2,[]
440,51.9793801,4.3416439,1,[]
441,51.9822739,4.3406467,1,[]
442,51.982418,4.3479704,20,[]
443,51.9823574,4.3494104,7,[]
444,51.9844545,4.3654097,2,[]
445,51.978114,4.3446741,2,[]
446,51.9868393,4.3549492,1,[]
447,51.9811803,4.3455378,1,[]
448,51.9814574,4.3667681,2,[]
449,51.9802651,4.3490343,2,[]
450,51.9868697,4.3551441,1,[]
451,51.9839645,4.3634224,4,[]
452,51.9817044,4.3423954,9,[]
453,51.9848712,4.3524226,4,[]
454,51.9840439,4.3449117,3,[]
455,51.9872012,4.3639199,2,[]
456,51.9790268,4.3395871,8,[]
457,51.9836933,4.3403447,1,[]
458,51.9785868,4.3439074,4,[]
459,51.9830798,4.3401312,1,[]
460,51.9832426,4.3588366,1,[]
461,51.9819295,4.3589314,2,[]
462,51.984637,4.3650829,3,[]
463,51.9834386,4.348493,7,[]
464,51.9837124,4.3503241,2,[]
465,51.9872104,4.3624003,1,[]
466,51.9802855,4.3382609,1,[]
467,51.9844605,4.3501715,1,[]
468,51.9827748,4.3370633,2,[]
469,51.9808587,4.3571941,1,[]
470,51.9843278,4.3556972,1,[]
471,51.9795041,4.3569506,1,[]
472,51.9852174,4.3500136,2,[]
473,51.9792257,4.3407153,2,[]
474,51.9859017,4.361181,2,[]
475,51.981521,4.3655083,1,[]
476,51.9819932,4.3488355,3,[]
477,51.9851453,4.3523124,1,[]
478,51.9788326,4.3479789,3,[]
479,51.97798,4.3438557,2,[]
480,51.9814213,4.3425112,1,[]
481,51.9806444,4.3601353,1,[]
482,51.981335,4.3425465,35,[]
483,51.981499,4.3653731,1,[]
484,51.9810621,4.3440625,1,[]
485,51.9807139,4.3435759,1,[]
486,51.9855738,4.3627852,2,[]
487,51.9824737,4.3381958,3,[]
488,51.9841466,4.3520278,1,[]
489,51.9793047,4.3411626,1,[]
490,51.9812398,4.3590559,7,[]
491,51.978843,4.3501945,4,[]
492,51.985014,4.3515954,2,[]
493,51.9839456,4.3642048,3,[]
494,51.9839602,4.3483688,1,[]
